mjd flux
57751.16947607 59281141.67602539
57751.17150163 59433735.361694336
57751.17352718 59506672.84939575
57751.17555274 59569956.3789978
57751.17757792 59613796.257232666
57751.17960348 59664143.00869751
57751.18162903 59687361.13345337
57751.18365459 59711854.90975952
57751.18567977 59743111.924346924
57751.18770533 59750696.09011841
57751.18973089 59754104.92367554
57751.19175644 59766713.444244385
57751.19378163 59776350.22067261
57751.19580718 59794961.36444092
57751.19783274 59781267.09075928
57751.23371237 59749751.8505249
57751.23573792 59754381.419921875
57751.23776311 59793404.04385376
57751.23978866 59783548.173706055
57751.24181422 59795048.04263306
57751.24383977 59796428.99697876
57751.24586496 59800031.24932861
57751.24789051 59805241.124298096
57751.24991607 59783734.688323975
57751.25194163 59808628.340148926
57751.25396681 59798911.70248413
57751.25599237 59799998.160736084
57751.25801792 59800702.77890015
57751.26004348 59803907.133392334
57751.26206866 59797849.245269775
57751.26409422 59784202.30905151
57751.29995089 59720693.45175171
57751.30197607 59729319.35610962
57751.30400163 59739312.67501831
57751.30602718 59742816.267578125
57751.30805274 59752331.11853027
57751.31007792 59734551.2583313
57751.31210348 59743095.857421875
57751.31412903 59736057.4855957
57751.31615459 59733820.87188721
57751.31817977 59667721.052215576
57751.32020533 59455473.982910156
57751.32223089 59336623.8069458
57751.32425644 59304210.17700195
57751.32628163 59272641.135772705
57751.32830718 59261657.05157471
57751.33033274 59229759.369262695
57751.43242755 59602913.353302
57751.43445311 59621338.69732666
57751.43647866 59625303.14807129
57751.43850385 59643302.00299072
57751.4405294 59659516.83428955
57751.44255496 59647706.5987854
57751.44458051 59666929.02688599
57751.4466057 59657236.77493286
57751.44863126 59656896.41430664
57751.45065681 59647295.57632446
57751.45268237 59642240.10903931
57751.45470755 59651880.90133667
57751.45673311 59648375.98614502
57751.45875866 59665374.630218506
57751.46078422 59625680.07168579
57751.4628094 59646005.69329834
